dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
20667	Gergovi	Gergovi			N	1 1 F L	1	1	F		L		X	X	F	D	X	Gergovia; (town of the Arverni in central Gaul);
20668	geriatri	geriatri			N	1 1 F T	1	1	F		T		G	X	X	E	K	geriatrics;
20669	german	german			N	1 1 M P	1	1	M		P		X	X	X	D	X	sister, own sister; full sister;
20670	German	German			N	2 1 M G	2	1	M		G		X	X	G	D	X	Germans (pl.);
20671	german	german			N	2 1 M P	2	1	M		P		X	X	X	D	X	own brother; full brother;
20672	german	german			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	own/full (of brother/sister); genuine, real, actual, true;
20673	Germani	Germani			N	1 1 F L	1	1	F		L		X	X	G	B	X	Germany;
20674	Germanic	Germanic			N	2 1 M N	2	1	M		N		X	X	X	C	Z	Germanicus;
20675	Germanic	Germanic			ADJ	1 1 POS	1	1		POS			X	X	X	B	Z	German;
20676	germanitas	germanitat			N	3 1 F T	3	1	F		T		X	X	X	D	X	brotherhood, sisterhood; affinity between things deriving from the same source;
20677	germen	germin			N	3 2 N T	3	2	N		T		X	A	X	B	X	sprout, bud; shoot;
20678	germin	germin	germinav	germinat	V	1 1 X	1	1			X		X	X	X	E	C	sprout forth;
20679	germinal	germinal			ADJ	3 2 POS	3	2		POS			G	X	X	E	K	germinal;
20680	germinatio	germination			N	3 1 F T	3	1	F		T		X	A	X	D	S	sprouting forth; germination; a shoot;
20681	gerontocomi	gerontocomi			N	2 2 N T	2	2	N		T		G	X	X	E	K	old men's asylum;
20682	gerontotrophi	gerontotrophi			N	2 2 N T	2	2	N		T		G	X	X	E	K	old men's hospice;
20683	gerr	gerr			N	1 1 F T	1	1	F		T		F	W	X	E	M	war; retaliation, feud;
20684	gerr	gerr			N	1 1 F T	1	1	F		T		X	X	X	D	O	wicker-work screen/hurdle; wattled twigs (pl.); [gerrae => trifles, nonsense!];
20685	gerro	gerron			N	3 1 M P	3	1	M		P		X	X	X	E	O	term of opprobrium/disgrace/reproach; buffoon?;
20686	gerul	gerul			N	1 1 F P	1	1	F		P		X	X	X	E	O	bearer (female), porter, carrier; she who bears/carries (L+S); worker bee;
20687	gerul	gerul			N	2 1 M P	2	1	M		P		X	X	X	C	O	bearer, porter, carrier; doer, one who does something;
20688	gerul	gerul			N	2 2 N T	2	2	N		T		D	X	X	F	S	bearer, carrier;
20689	gerundi	gerundi			N	2 2 N T	2	2	N		T		G	G	X	E	K	gerund;
20690	gerundiv	gerundiv			N	2 2 N T	2	2	N		T		G	G	X	E	K	gerundive; verbal adjective;
20691	gest	gest			N	2 2 N T	2	2	N		T		X	X	X	D	X	what has been carried out, a business; deeds (pl.), exploits;
20692	gest	gest			N	4 1 M T	4	1	M		T		X	X	X	D	X	movement of the limbs, bodily action, carriage, gesture; performance (duty);
20693	gest	gest	gestav	gestat	V	1 1 X	1	1			X		X	X	X	B	X	bear, carry; wear;
20694	gestamen	gestamin			N	3 2 N T	3	2	N		T		X	X	X	D	X	something worn or carried on the body;
20695	gestatio	gestation			N	3 1 F A	3	1	F		A		X	X	X	E	S	bearing, wearing; be carried; place to take air;
20696	gesti	gest	gestiv	gestit	V	3 4 X	3	4			X		X	X	X	D	X	be eager, wish passionately; gesticulate, express strong feeling, exult;
20697	gesticul	gesticul	-	gesticulat	V	1 1 DEP	1	1			DEP		X	X	X	D	X	gesticulate;  make mimic or pantomimic movements;
20698	gestit	gestit	gestitav	gestitat	V	1 1 X	1	1			X		X	X	X	C	S	carry often; wear often;
20699	gibb	gibb			N	2 1 M T	2	1	M		T		X	X	X	D	X	protuberance/lump on the body;
20700	gibb	gibb			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	bulging, protuberant;
20701	gibber	gibber			N	3 1 M T	3	1	M		T		X	X	X	D	X	hump;
20702	gibber	gibber			ADJ	1 2 POS	1	2		POS			X	X	X	D	X	humpbacked;
20703	gibberos	gibberos			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	humpbacked;
20704	Gigans	Gigant			N	3 3 M G	3	3	M		G		X	Y	X	C	O	giant; Giant; the Giants (pl.); (race defeated by the Olympians);
20705	Gigante	Gigante			ADJ	1 1 POS	1	1		POS			X	Y	X	C	O	of/connected with the Giants; like that of the Giants;
20706	Gigas	Gigant			N	3 7 M G	3	7	M		G		X	Y	X	C	O	giant; Giant; the Giants (pl.); (race defeated by the Olympians);
20707	gign	gign	genu	genit	V	3 1 X	3	1			X		X	X	X	A	X	give birth to, bring forth, bear; beget; be born (PASSIVE);
20708	gilb	gilb			ADJ	1 1 POS	1	1		POS			E	X	X	E	S	pale yellow; dun-colored (OLD);
20709	gild	gild			N	1 1 F T	1	1	F		T		F	L	X	D	M	guild; association; guild meeting; guild-house;
20710	gildo	gildon			N	3 1 M P	3	1	M		P		F	X	X	F	M	camp-follower;
20711	gilv	gilv			ADJ	1 1 POS	1	1		POS			X	X	X	E	S	pale yellow; dun-colored (OLD);
20712	gimel				N	9 9 N T	9	9	N		T		D	E	Q	E	W	gimel; (3rd letter of Hebrew alphabet); (transliterate as G);
20713	gingiber	gingiber			N	3 2 N T	3	2	N		T		G	X	X	E	K	ginger;
20714	gingiv	gingiv			N	1 1 F T	1	1	F		T		X	X	X	D	X	gum (in which the teeth are set);
20715	git				N	9 9 N T	9	9	N		T		X	A	X	C	O	black cumin (Nigella sativa); Roman coriander (L+S); melanthion/melanspermon;
20716	gith				N	9 9 N T	9	9	N		T		E	A	X	C	S	black cumin (Nigella sativa); Roman coriander (L+S); melanthion/melanspermon;
20717	gitti				N	9 9 N T	9	9	N		T		X	A	X	C	O	black cumin (Nigella sativa); Roman coriander (L+S); melanthion/melanspermon;
20718	glab	glab			N	1 1 F T	1	1	F		T		X	X	X	D	X	clod; cultivated soil; lump, mass;
20719	glaber	glabr			ADJ	1 2 POS	1	2		POS			X	X	X	D	X	hairless, smooth;
20720	glabrio	glabrion			N	3 1 F T	3	1	F		T		F	X	X	F	M	hairless-person; ringworm; L:Glabrio (Roman surname);
20721	glaci	glaci			N	5 1 F T	5	1	F		T		X	X	X	D	X	ice; ice fields (pl.);
20722	glaci	glaci	glaciav	glaciat	V	1 1 X	1	1			X		X	X	X	E	C	freeze;
20723	glacial	glacial			ADJ	3 2 POS	3	2		POS			X	X	X	D	X	icy, frozen;
20724	glaciari	glaciari			N	2 2 N T	2	2	N		T		G	X	X	E	K	glacier;
20725	gladi	gladi			N	2 1 M T	2	1	M		T		F	X	X	E	K	swordfish;
20726	gladi	gladi			N	2 4 M T	2	4	M		T		X	W	X	A	X	sword;
20727	gladiator	gladiator			N	3 1 M P	3	1	M		P		X	X	X	D	X	gladiator;
20728	gladiatori	gladiatori			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	gladiatorial;
20729	gladiatur	gladiatur			N	1 1 F T	1	1	F		T		X	X	X	E	C	profession of gladiator;
20730	gladiol	gladiol			N	2 1 M T	2	1	M		T		F	A	X	E	K	gladiolus;
20731	glaeb	glaeb			N	1 1 F T	1	1	F		T		X	X	X	D	X	clod/lump of earth/turf; land, soil; hard soil; piece, lump, mass;
20732	glaes	glaes			N	2 2 N T	2	2	N		T		X	X	X	E	C	amber;
20733	glandifer	glandifer			ADJ	1 2 POS	1	2		POS			X	A	X	E	O	acorn-bearing;
20734	glans	gland			N	3 3 F T	3	3	F		T		X	A	X	C	O	mast/acorn/beechnut/chestnut; missile/bullet thrown/discharged from sling;
20735	glare	glare			N	1 1 F T	1	1	F		T		X	X	X	D	X	gravel;
20736	glareos	glareos			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	gravelly;
20737	glari	glari			N	1 1 F T	1	1	F		T		F	X	X	F	M	gravel; earth;
20738	glas	gland			N	3 3 F T	3	3	F		T		X	A	X	E	O	mast/acorn/beachnut/chestnut; missile/bullet thrown/discharged from sling;
20739	glauc	glauc			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	bluish gray;
20740	glaucom	glaucom			N	3 2 N T	3	2	N		T		X	B	X	E	C	disease of the eye, cataract;
20741	glaucoma	glaucomat			N	3 2 N T	3	2	N		T		X	B	X	E	C	disease of the eye, cataract; mist before the eyes (Erasmus);
20742	gleb	gleb			N	1 1 F T	1	1	F		T		X	X	X	D	X	clod/lump of earth/turf; land, soil; hard soil; piece, lump, mass;
20743	glebul	glebul			N	1 1 F T	1	1	F		T		X	A	X	E	C	little clod or lump; a little farm or estate;
20744	gles	gles			N	2 2 N T	2	2	N		T		X	X	X	E	C	amber;
20745	gleucin	gleucin			ADJ	1 1 POS	1	1		POS			X	A	X	E	S	made-from-must;
20746	glis	glir			N	3 3 M T	3	3	M		T		X	X	X	D	X	dormouse;
20747	glisc	glisc	-	-	V	3 1 X	3	1			X		X	X	X	D	X	swell; increase in power or violence;
20748	glob	glob			N	2 1 M T	2	1	M		T		X	X	X	D	X	ball, sphere; dense mass, close packed throng, crowd; clique, band; globe;
20749	global	global			ADJ	3 2 POS	3	2		POS			G	X	X	E	K	global;
20750	globos	globos			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	round, spherical;
20751	globul	globul			N	2 1 M T	2	1	M		T		X	X	X	D	X	globule; button (Cal);
20752	glomer	glomer	glomerav	glomerat	V	1 1 X	1	1			X		X	X	X	D	X	collect, amass, assemble; form into a ball;
20753	glomeramen	glomeramin			N	3 2 N T	3	2	N		T		X	X	X	E	C	round mass, globe;
20754	glomus	glomer			N	3 2 N T	3	2	N		T		X	X	X	D	X	ball-shaped mass; ball made by winding, ball of thread, skein;
20755	glori	glori			N	1 1 F T	1	1	F		T		X	X	X	A	X	glory, fame; ambition; renown; vainglory, boasting;
20756	glori	glori	-	gloriat	V	1 1 DEP	1	1			DEP		X	X	X	B	X	boast, brag; glory, pride oneself;
20757	gloriabund	gloriabund			ADJ	1 1 POS	1	1		POS			F	E	X	F	M	triumphant;
20758	glorianter				ADV	POS				POS			F	X	X	F	E	boastingly; exultingly;
20759	gloriatio	gloriation			N	3 1 F T	3	1	F		T		X	X	X	E	S	exalting, boasting, vaunting, glorying;
20760	glorific	glorific			ADJ	1 1 POS	1	1		POS			F	E	X	E	M	glorious, full of glory;
20761	glorific	glorific	glorificav	glorificat	V	1 1 TRANS	1	1			TRANS		D	E	X	D	S	glorify; magnify, honor, worship (Def); exalt in thought/speech; uplift;
20762	glorificatio	glorification			N	3 1 F T	3	1	F		T		D	E	X	F	S	glorification;
20763	gloriol	gloriol			N	1 1 F T	1	1	F		T		X	X	X	E	C	little glory;
20764	glorios	glorios	gloriosi	gloriosissi	ADJ	1 1 X	1	1		X			X	X	X	B	X	glorious, full of glory; famous, renowned; boastful, conceited; ostentatious;
20765	gloriose	gloriosius	gloriosissime		ADV	X				X			X	X	X	D	X	gloriously, magnificently; pompously, boastfully;
20766	glos	glos			N	1 1 F T	1	1	F		T		F	G	X	F	O	glossary, collection/list of unfamiliar/unusual words (needing interpretation);
20767	glosari	glosari			N	2 2 N T	2	2	N		T		X	G	X	F	O	unusual word requiring explanation (contemptuous diminutive);
20768	glosema	glosemat			N	3 2 N T	3	2	N		T		X	G	X	E	O	unusual word requiring interpretation; collection/list (pl.) of such words;
20769	gloss	gloss			N	1 1 F T	1	1	F		T		X	G	X	F	O	glossary, collection/list of unfamiliar/unusual words (needing interpretation);
20770	glossema	glossemat			N	3 2 N T	3	2	N		T		X	G	X	E	O	unusual word requiring interpretation; collection/list (pl.) of such words;
20771	glottologi	glottologi			N	1 1 F T	1	1	F		T		G	G	X	E	K	linguistics;
20772	glottologic	glottologic			ADJ	1 1 POS	1	1		POS			G	G	X	E	K	linguistic;
20773	glub	glub	glups	glupt	V	3 1 TRANS	3	1			TRANS		X	A	X	D	O	peel; strip the bark from; rob;
20774	glub	glub	-	-	V	2 1 INTRANS	2	1			INTRANS		X	A	X	F	O	shed its bark; (of a tree);
20775	glum	glum			N	1 1 F T	1	1	F		T		X	A	X	F	O	husks of grain; barley husks (pl.) (L+S);
20776	gluten	glutin			N	3 2 N T	3	2	N		T		X	X	X	D	O	glue, paste; gum; adhesive; solder (Douay); connecting tie/band/bond (L+S);
20777	gluti	glut	-	-	V	3 4 TRANS	3	4			TRANS		X	X	X	E	C	swallow, gulp down;
20778	glutin	glutin			N	2 2 N T	2	2	N		T		X	X	X	C	O	glue, paste; gum; adhesive; solder (Douay); connecting tie/band/bond (L+S);
20779	glutin	glutin	glutinav	glutinat	V	1 1 X	1	1			X		X	X	X	E	S	glue; B:join (espec. wounds);
